placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0027.csv","placement_f_0.64_0027.csv",2118359389,StageA_NeutronPatch,50,30,1,1.5,100000,4441,2.93529e+06,0.00151297,15.1297,0.04441
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0028.csv","placement_f_0.64_0028.csv",2119135791,StageA_NeutronPatch,50,30,1,1.5,100000,4418,2.93326e+06,0.00150618,15.0618,0.04418
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0029.csv","placement_f_0.64_0029.csv",690580681,StageA_NeutronPatch,50,30,1,1.5,100000,4393,2.93513e+06,0.0014967,14.967,0.04393
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0030.csv","placement_f_0.64_0030.csv",120916119,StageA_NeutronPatch,50,30,1,1.5,100000,4517,2.93107e+06,0.00154108,15.4108,0.04517
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0031.csv","placement_f_0.64_0031.csv",512037874,StageA_NeutronPatch,50,30,1,1.5,100000,4290,2.9354e+06,0.00146147,14.6147,0.0429
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0032.csv","placement_f_0.64_0032.csv",1213781414,StageA_NeutronPatch,50,30,1,1.5,100000,4458,2.93317e+06,0.00151986,15.1986,0.04458
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0033.csv","placement_f_0.64_0033.csv",1255627365,StageA_NeutronPatch,50,30,1,1.5,100000,4521,2.93246e+06,0.00154171,15.4171,0.04521
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0034.csv","placement_f_0.64_0034.csv",278212815,StageA_NeutronPatch,50,30,1,1.5,100000,4420,2.93365e+06,0.00150665,15.0665,0.0442
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0035.csv","placement_f_0.64_0035.csv",1371233556,StageA_NeutronPatch,50,30,1,1.5,100000,4474,2.9327e+06,0.00152556,15.2556,0.04474
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0036.csv","placement_f_0.64_0036.csv",659966779,StageA_NeutronPatch,50,30,1,1.5,100000,4466,2.93348e+06,0.00152243,15.2243,0.04466
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0037.csv","placement_f_0.64_0037.csv",1054619942,StageA_NeutronPatch,50,30,1,1.5,100000,4485,2.93238e+06,0.00152947,15.2947,0.04485
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0038.csv","placement_f_0.64_0038.csv",1585371775,StageA_NeutronPatch,50,30,1,1.5,100000,4534,2.9323e+06,0.00154623,15.4623,0.04534
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0039.csv","placement_f_0.64_0039.csv",213297268,StageA_NeutronPatch,50,30,1,1.5,100000,4571,2.932e+06,0.001559,15.59,0.04571
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0040.csv","placement_f_0.64_0040.csv",1215041125,StageA_NeutronPatch,50,30,1,1.5,100000,4474,2.93325e+06,0.00152527,15.2527,0.04474
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0041.csv","placement_f_0.64_0041.csv",619801245,StageA_NeutronPatch,50,30,1,1.5,100000,4538,2.93328e+06,0.00154707,15.4707,0.04538
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0042.csv","placement_f_0.64_0042.csv",558688651,StageA_NeutronPatch,50,30,1,1.5,100000,4449,2.93364e+06,0.00151655,15.1655,0.04449
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0043.csv","placement_f_0.64_0043.csv",1307080226,StageA_NeutronPatch,50,30,1,1.5,100000,4587,2.93287e+06,0.001564,15.64,0.04587
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0044.csv","placement_f_0.64_0044.csv",1134036898,StageA_NeutronPatch,50,30,1,1.5,100000,4349,2.93497e+06,0.00148179,14.8179,0.04349
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0045.csv","placement_f_0.64_0045.csv",786137131,StageA_NeutronPatch,50,30,1,1.5,100000,4357,2.93518e+06,0.0014844,14.844,0.04357
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0046.csv","placement_f_0.64_0046.csv",467012885,StageA_NeutronPatch,50,30,1,1.5,100000,4473,2.93365e+06,0.00152472,15.2472,0.04473
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0047.csv","placement_f_0.64_0047.csv",1933222696,StageA_NeutronPatch,50,30,1,1.5,100000,4488,2.93481e+06,0.00152923,15.2923,0.04488
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0048.csv","placement_f_0.64_0048.csv",342695066,StageA_NeutronPatch,50,30,1,1.5,100000,4485,2.93331e+06,0.00152899,15.2899,0.04485
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0049.csv","placement_f_0.64_0049.csv",255622615,StageA_NeutronPatch,50,30,1,1.5,100000,4408,2.93437e+06,0.00150219,15.0219,0.04408
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0050.csv","placement_f_0.64_0050.csv",12927569,StageA_NeutronPatch,50,30,1,1.5,100000,4534,2.93348e+06,0.0015456,15.456,0.04534
"/mnt/hgfs/Shared/B2/Input/placements/1-1.5/placement_f_0.64_0051.csv","placement_f_0.64_0051.csv",2144931763,StageA_NeutronPatch,50,30,1,1.5,100000,4471,2.93228e+06,0.00152475,15.2475,0.04471
