# bnWt=1.000000000000
# znsWt=2.000000000000
# phiTarget=0.640000000000
# seedBase=1968061450
# phiAchieved=0.640284508070
# patchXY_um=50.000000000000
# localThickness_um=30.000000000000
# bnRadius_um=2.500000000000
# znsRadius_um=1.000000000000
# overlapGap_um=0.020000000000
# insideBNVolume_um3=23692.844595823080
# insideZnSVolume_um3=24328.493509396569
# actualBNMass=49754.973651228473
# actualZnSMass=99503.538453431960
# actualBNToZnSMass=0.500032204126
# actualZnSToBNMass=1.999871191791
type,x_um,y_um,z_um
BN,9.314044760236,-20.859915946479,4.164623626443
BN,-11.147384420386,8.835926073918,-11.273509481096
BN,-17.566965776904,11.490038659261,-1.466353175581
BN,-3.205729765348,4.908285646585,-12.500000000000
BN,0.890836793795,-6.410456125461,7.884609616512
BN,-22.500000000000,19.754717028478,4.614562599781
BN,20.549740488287,2.027348304906,0.234532165533
BN,-8.815158911045,22.424100038637,10.471735164410
BN,13.807661104289,10.565846969392,12.500000000000
BN,-22.500000000000,15.340985365324,7.006089180303
BN,10.872755395032,-11.962996086230,-12.500000000000
BN,-6.773222700746,6.176794856746,12.500000000000
BN,12.350474094467,-8.264030439240,4.792733869056
BN,4.178336495981,-9.498330954513,3.309170346132
BN,14.211730660010,19.090282238166,-12.500000000000
BN,6.324723098637,-1.465071084586,-5.942412351538
BN,-17.517084985644,18.686849115984,-8.964498400575
BN,17.173534845226,14.156456542602,3.807545309785
BN,-4.637478095511,-0.006925801341,-7.911043829452
BN,-22.500000000000,-22.500000000000,7.807251175067
BN,22.350281231763,8.238799659380,-6.360305104854
BN,15.129958122554,5.189510783638,-8.354138517985
BN,-22.500000000000,-13.764551471757,7.227394334829
BN,4.018923136911,22.500000000000,-12.500000000000
BN,11.572257983341,-5.854529153329,-1.225779500076
BN,-22.500000000000,3.733526099987,12.500000000000
BN,-5.697488221428,-9.341524829337,3.106003048807
BN,-5.007557291463,1.479367115420,12.369690467142
BN,-14.819726536925,-5.366854869442,-12.500000000000
BN,14.968174588166,7.873869382520,6.126251626206
BN,7.321609050570,-6.349256833261,5.633719362191
BN,-3.652330021763,22.479471766466,-5.523898706380
BN,3.981855196051,22.338816752677,0.544349447099
BN,22.500000000000,5.036907174231,-10.223703567226
BN,-17.411214270238,-17.607376966819,-6.529183358304
BN,-19.758289737899,-16.022238602651,12.500000000000
BN,6.105016269784,10.515595752192,-3.919531198191
BN,-14.955328618104,-16.520565847445,2.562413875512
BN,20.301961999056,14.201178384214,-7.712057731419
BN,11.997131759832,15.247980316311,12.500000000000
BN,13.418031935285,-3.681695186938,12.500000000000
BN,-12.158703780383,17.623546615965,-12.500000000000
BN,22.418090246077,-16.482719675549,10.790641356934
BN,5.285356585956,0.238025535987,10.594647129716
BN,-15.254341818998,-13.007634662873,-6.346353588007
BN,-20.658600510165,18.762357921991,12.500000000000
BN,19.142636835107,-12.251023114409,9.065146534986
BN,-9.664782430127,-5.769279937762,12.500000000000
BN,10.274152405770,6.962553826869,7.654662131463
BN,-13.718201501516,2.312416524019,-4.740995444575
BN,-20.609358805094,-4.278063465084,4.804621088546
BN,2.594683659781,-1.797150008427,6.877292423776
BN,2.315002922235,-7.778029132049,12.500000000000
BN,-12.421089487166,9.139784601843,-6.396826449851
BN,-0.684184386279,7.068300959506,-7.221739992976
BN,-7.521819773041,17.707022998143,2.104605334630
BN,-6.273118410581,-6.692595702676,-1.213636175097
BN,22.442785188271,-22.500000000000,12.500000000000
BN,-10.546940862321,3.254636895004,-0.962961762336
BN,-17.573216889073,-8.947574252999,6.244189434813
BN,7.585897997411,1.427245547459,-11.035468132872
BN,22.421651030544,18.868415111700,7.808065884022
BN,-12.804647264902,7.533699521593,10.041360286949
BN,17.777912366708,-9.243109416921,-10.771047504765
BN,-4.628456446454,18.880637572200,-9.421830574385
BN,-12.343079654607,4.256509969190,6.266790484724
BN,-22.492582556863,-5.086477538396,-6.241867000142
BN,-17.333271128705,-2.234628594825,-9.488088074360
BN,19.438988613529,5.966150778149,7.380368840203
BN,7.885776475541,-19.383497333029,12.500000000000
BN,-11.556830286809,-22.415879250818,-0.499211920905
BN,13.316415119877,-2.758017179141,-4.771186000690
BN,13.949377510686,0.364771628748,-9.081125948313
BN,-15.213631031163,16.422668287203,9.159900937304
BN,-0.199308716263,-13.197618003072,12.500000000000
BN,18.543919427985,-16.291553785519,3.568911731669
BN,6.640476824599,9.758700403038,-10.491658715697
BN,22.340909543943,15.950896920690,2.593443860891
BN,0.043734615335,-4.712281299713,-12.500000000000
BN,22.445886359551,-9.483623376824,6.392502512419
BN,-1.332104825363,15.695463027945,-7.331887685806
BN,-4.878625721167,-12.977290065195,-10.683058061008
BN,21.125327034149,-4.503680804892,-6.859869004337
BN,-0.732673353587,17.653812838984,-12.495281620411
BN,-22.500000000000,10.464879062343,3.239484151152
BN,-11.373502677156,4.598036695832,-8.581526338068
BN,20.721439579012,18.644761453839,-2.992826036886
BN,1.791905315202,-20.904596546210,-12.500000000000
BN,0.708819409825,-18.858875890820,2.408955238070
BN,-22.500000000000,11.181843302992,-3.584301608673
BN,16.481014505583,7.735308747278,-12.477442776185
BN,-12.016529461127,8.040190962491,-1.335985820213
BN,-8.255459237427,4.393298707754,3.355943507171
BN,22.500000000000,-20.774874643305,-2.115473529691
BN,-9.194669283907,11.257036278655,3.765918482619
BN,3.127893044206,-21.128878665737,12.500000000000
BN,-2.036653194809,-22.500000000000,-1.063152117353
BN,6.313953531380,-15.720428725378,1.461117764707
BN,20.877822994635,-18.462583557610,-6.265443191889
BN,14.074917207852,-11.874694870732,-8.634941341249
BN,2.511757027602,22.500000000000,6.696348475201
BN,18.353304900677,14.491429217539,10.070345418092
BN,14.560996823377,17.651834225593,8.708825189019
BN,9.387295445044,-17.567647835295,7.981842433015
BN,-3.175803003132,-17.336130080988,-12.500000000000
BN,-12.487258041237,-17.141219057091,-5.670261409908
BN,-20.850964039190,-11.696504506674,-5.552885206414
BN,-7.088188597692,9.127478660117,-5.861234716221
BN,-18.823267056572,-7.005783348680,-9.953250644373
BN,14.304323957153,12.726933550239,7.670767664450
BN,12.490392028659,7.869331013457,-0.677683562178
BN,22.396492266425,12.563713450734,7.803864078915
BN,20.745201770271,9.821963544997,-10.845581635981
