placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0028.csv","placement_f_0.64_0028.csv",471706385,StageA_NeutronPatch,50,30,2,1,100000,6113,2.90867e+06,0.00210164,21.0164,0.06113
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0029.csv","placement_f_0.64_0029.csv",512227317,StageA_NeutronPatch,50,30,2,1,100000,6029,2.90957e+06,0.00207213,20.7213,0.06029
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0030.csv","placement_f_0.64_0030.csv",165254663,StageA_NeutronPatch,50,30,2,1,100000,6077,2.91037e+06,0.00208805,20.8805,0.06077
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0031.csv","placement_f_0.64_0031.csv",1694036116,StageA_NeutronPatch,50,30,2,1,100000,6077,2.90901e+06,0.00208902,20.8902,0.06077
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0032.csv","placement_f_0.64_0032.csv",314658764,StageA_NeutronPatch,50,30,2,1,100000,6111,2.90869e+06,0.00210094,21.0094,0.06111
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0033.csv","placement_f_0.64_0033.csv",1013131770,StageA_NeutronPatch,50,30,2,1,100000,6097,2.90907e+06,0.00209586,20.9586,0.06097
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0034.csv","placement_f_0.64_0034.csv",1611296568,StageA_NeutronPatch,50,30,2,1,100000,6244,2.90595e+06,0.00214869,21.4869,0.06244
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0035.csv","placement_f_0.64_0035.csv",1461501776,StageA_NeutronPatch,50,30,2,1,100000,6127,2.90973e+06,0.00210569,21.0569,0.06127
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0036.csv","placement_f_0.64_0036.csv",860822682,StageA_NeutronPatch,50,30,2,1,100000,6239,2.90557e+06,0.00214725,21.4725,0.06239
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0037.csv","placement_f_0.64_0037.csv",283850684,StageA_NeutronPatch,50,30,2,1,100000,5985,2.91014e+06,0.0020566,20.566,0.05985
