# bnWt=1.000000000000
# znsWt=1.000000000000
# phiTarget=0.640000000000
# seedBase=479247999
# phiAchieved=0.640556779433
# patchXY_um=50.000000000000
# localThickness_um=30.000000000000
# bnRadius_um=2.500000000000
# znsRadius_um=1.000000000000
# overlapGap_um=0.020000000000
# insideBNVolume_um3=31743.175770647063
# insideZnSVolume_um3=16298.582686822536
# actualBNMass=66660.669118358841
# actualZnSMass=66661.203189104170
# actualBNToZnSMass=0.999991988282
# actualZnSToBNMass=1.000008011782
type,x_um,y_um,z_um
BN,-17.022509148088,-13.042618903276,7.373656545792
BN,-6.716977872813,13.506270516826,12.500000000000
BN,4.985421402327,1.552323246094,-1.177609979987
BN,-11.861657297943,10.030186423064,-1.808131695446
BN,-22.500000000000,-22.498865666681,-3.681527978864
BN,-13.459391590201,-14.102543152821,-2.891153197744
BN,-22.500000000000,-4.593965567602,8.672278402955
BN,13.132926937253,-19.071406569024,1.007648573575
BN,-2.919557757673,-14.548611018568,2.970346794393
BN,-8.748623889327,0.131245963080,-3.102175580235
BN,-22.500000000000,4.482352412404,12.500000000000
BN,-12.129351383525,-11.921308428504,7.381992089534
BN,17.515505991194,1.424789552065,-2.530856108567
BN,13.281620201378,14.530551838853,5.995385042592
BN,11.496674392047,-17.711508353386,9.406772514977
BN,-13.759103310514,4.428869994085,2.106223309945
BN,-12.407580980543,-22.500000000000,2.674132620919
BN,-18.635386239685,-17.807673039785,-1.489203416607
BN,-14.667087919878,10.595111933902,10.936385352869
BN,-18.476451559607,-7.826518917353,10.491112992881
BN,6.531766914577,-3.084702837189,12.398006525327
BN,7.101582664157,-17.599196455090,-12.447009793843
BN,-20.911046667973,9.841272263038,0.960540072985
BN,-20.810657427195,5.739904699060,-1.932400475269
BN,-8.388951528842,-3.800239646921,3.879184477771
BN,-4.652255481431,17.117037801210,-1.505917705257
BN,-20.985134725008,18.983279308006,8.915621507043
BN,-12.876614805879,17.409974802885,-2.476716046041
BN,-1.149029631346,-22.500000000000,12.477921730035
