placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0001.csv","placement_f_0.64_0001.csv",1076794026,StageA_NeutronPatch,50,30,1,3,100000,3053,2.95534e+06,0.00103304,10.3304,0.03053
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0002.csv","placement_f_0.64_0002.csv",1570141228,StageA_NeutronPatch,50,30,1,3,100000,3164,2.95369e+06,0.0010712,10.712,0.03164
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0003.csv","placement_f_0.64_0003.csv",1351865082,StageA_NeutronPatch,50,30,1,3,100000,3141,2.95521e+06,0.00106287,10.6287,0.03141
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0004.csv","placement_f_0.64_0004.csv",1204030682,StageA_NeutronPatch,50,30,1,3,100000,3263,2.95269e+06,0.0011051,11.051,0.03263
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0005.csv","placement_f_0.64_0005.csv",1154306332,StageA_NeutronPatch,50,30,1,3,100000,3199,2.95342e+06,0.00108315,10.8315,0.03199
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0006.csv","placement_f_0.64_0006.csv",679110990,StageA_NeutronPatch,50,30,1,3,100000,3085,2.9537e+06,0.00104445,10.4445,0.03085
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0007.csv","placement_f_0.64_0007.csv",1451882595,StageA_NeutronPatch,50,30,1,3,100000,3137,2.95367e+06,0.00106207,10.6207,0.03137
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0008.csv","placement_f_0.64_0008.csv",183063346,StageA_NeutronPatch,50,30,1,3,100000,3254,2.95035e+06,0.00110292,11.0292,0.03254
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0009.csv","placement_f_0.64_0009.csv",1719025854,StageA_NeutronPatch,50,30,1,3,100000,3058,2.95553e+06,0.00103467,10.3467,0.03058
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0010.csv","placement_f_0.64_0010.csv",226481417,StageA_NeutronPatch,50,30,1,3,100000,3217,2.95312e+06,0.00108936,10.8936,0.03217
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0011.csv","placement_f_0.64_0011.csv",805932917,StageA_NeutronPatch,50,30,1,3,100000,3066,2.95441e+06,0.00103777,10.3777,0.03066
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0012.csv","placement_f_0.64_0012.csv",1749875108,StageA_NeutronPatch,50,30,1,3,100000,3186,2.95245e+06,0.0010791,10.791,0.03186
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0013.csv","placement_f_0.64_0013.csv",97445216,StageA_NeutronPatch,50,30,1,3,100000,3279,2.95215e+06,0.00111072,11.1072,0.03279
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0014.csv","placement_f_0.64_0014.csv",1043256451,StageA_NeutronPatch,50,30,1,3,100000,3237,2.9524e+06,0.0010964,10.964,0.03237
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0015.csv","placement_f_0.64_0015.csv",1741687885,StageA_NeutronPatch,50,30,1,3,100000,3231,2.95168e+06,0.00109463,10.9463,0.03231
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0016.csv","placement_f_0.64_0016.csv",306465956,StageA_NeutronPatch,50,30,1,3,100000,3149,2.9521e+06,0.0010667,10.667,0.03149
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0017.csv","placement_f_0.64_0017.csv",458825153,StageA_NeutronPatch,50,30,1,3,100000,3149,2.95339e+06,0.00106623,10.6623,0.03149
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0018.csv","placement_f_0.64_0018.csv",1496634982,StageA_NeutronPatch,50,30,1,3,100000,3109,2.95277e+06,0.00105291,10.5291,0.03109
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0019.csv","placement_f_0.64_0019.csv",1890435416,StageA_NeutronPatch,50,30,1,3,100000,3231,2.95151e+06,0.00109469,10.9469,0.03231
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0020.csv","placement_f_0.64_0020.csv",571793823,StageA_NeutronPatch,50,30,1,3,100000,3125,2.95382e+06,0.00105795,10.5795,0.03125
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0021.csv","placement_f_0.64_0021.csv",1675646606,StageA_NeutronPatch,50,30,1,3,100000,3175,2.95313e+06,0.00107513,10.7513,0.03175
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0022.csv","placement_f_0.64_0022.csv",554642159,StageA_NeutronPatch,50,30,1,3,100000,3238,2.95196e+06,0.0010969,10.969,0.03238
"/mnt/hgfs/Shared/B2/Input/placements/1-3/placement_f_0.64_0023.csv","placement_f_0.64_0023.csv",1029166376,StageA_NeutronPatch,50,30,1,3,100000,3211,2.95246e+06,0.00108757,10.8757,0.03211
